   # exclusion    outcome  unit     inference          pooling   N_cells  delta_pp            p
 108 notaA_only   lenient  cell     permutation        pooled       1327   -15.750    9.999e-05
 109 notaA_only   lenient  cell     logit_robustSE     pooled       1327   -15.750    1.605e-18
 110 notaA_only   lenient  item     cluster_bootstrap  pooled       1327   -15.738    9.999e-05
 111 notaA_only   lenient  item     permutation        pooled       1327   -15.738    9.999e-05
 112 notaA_only   lenient  item     ols_robustSE       pooled       1327   -15.738    1.654e-19
 113 primary      strict   cluster  cluster_bootstrap  pooled       1300   -15.705    9.999e-05
 114 primary      strict   cluster  permutation        pooled       1300   -15.705    9.999e-05
 115 primary      strict   cluster  ols_robustSE       pooled       1300   -15.705    1.915e-13
 116 primary      strict   cluster  cluster_bootstrap  separate     1300   -15.705    9.047e-13
 117 primary      strict   cluster  permutation        separate     1300   -15.705    1.712e-12
 118 primary      strict   cluster  ols_robustSE       separate     1300   -15.705    9.664e-20
 119 notaA_only   strict   cell     mcnemar_exact      pooled       1328   -15.663    5.064e-36
 120 notaA_only   strict   cell     cluster_bootstrap  pooled       1328   -15.663    9.999e-05
 121 notaA_only   strict   cell     permutation        pooled       1328   -15.663    9.999e-05
 122 notaA_only   strict   cell     logit_robustSE     pooled       1328   -15.663    2.851e-18
 123 notaA_only   strict   item     cluster_bootstrap  pooled       1328   -15.663    9.999e-05
 124 notaA_only   strict   item     permutation        pooled       1328   -15.663    9.999e-05
 125 notaA_only   strict   item     ols_robustSE       pooled       1328   -15.663    2.623e-19
 126 notaA_only   strict   model    cluster_bootstrap  pooled       1328   -15.663    9.999e-05
 127 notaA_only   strict   model    permutation        pooled       1328   -15.663    9.999e-05
 128 notaA_only   strict   model    ols_robustSE       pooled       1328   -15.663    9.749e-03
 129 notaA_only   strict   cell     mcnemar_exact      separate     1328   -15.663    1.429e-32
 130 notaA_only   strict   cell     cluster_bootstrap  separate     1328   -15.663    9.047e-13
 131 notaA_only   strict   cell     permutation        separate     1328   -15.663    9.047e-13
 132 notaA_only   strict   cell     logit_robustSE     separate     1328   -15.663    2.371e-27
 133 primary      lenient  model    cluster_bootstrap  pooled       1299   -15.552    9.999e-05
 134 primary      lenient  model    permutation        pooled       1299   -15.552    9.999e-05
 135 primary      lenient  model    ols_robustSE       pooled       1299   -15.552    8.672e-03
 136 primary      lenient  cell     mcnemar_exact      separate     1299   -15.552    1.109e-31
 137 primary      lenient  cell     cluster_bootstrap  separate     1299   -15.552    9.047e-13
 138 primary      lenient  cell     permutation        separate     1299   -15.552    9.047e-13
 139 primary      lenient  cell     logit_robustSE     separate     1299   -15.552    3.986e-26
 140 primary      lenient  cell     mcnemar_exact      pooled       1299   -15.550    6.275e-35
 141 primary      lenient  cell     cluster_bootstrap  pooled       1299   -15.550    9.999e-05
 142 primary      lenient  cell     permutation        pooled       1299   -15.550    9.999e-05
 143 primary      lenient  cell     logit_robustSE     pooled       1299   -15.550    6.710e-18
 144 primary      lenient  item     cluster_bootstrap  pooled       1299   -15.538    9.999e-05
 145 primary      lenient  item     permutation        pooled       1299   -15.538    9.999e-05
 146 primary      lenient  item     ols_robustSE       pooled       1299   -15.538    1.127e-18
 147 primary      strict   cell     mcnemar_exact      pooled       1300   -15.462    2.008e-34
 148 primary      strict   cell     cluster_bootstrap  pooled       1300   -15.462    9.999e-05
 149 primary      strict   cell     permutation        pooled       1300   -15.462    9.999e-05
 150 primary      strict   cell     logit_robustSE     pooled       1300   -15.462    1.201e-17
 151 primary      strict   item     cluster_bootstrap  pooled       1300   -15.462    9.999e-05
 152 primary      strict   item     permutation        pooled       1300   -15.462    9.999e-05
 153 primary      strict   item     ols_robustSE       pooled       1300   -15.462    1.779e-18
 154 primary      strict   model    cluster_bootstrap  pooled       1300   -15.462    9.999e-05
 155 primary      strict   model    permutation        pooled       1300   -15.462    9.999e-05
 156 primary      strict   model    ols_robustSE       pooled       1300   -15.462    8.522e-03
 157 primary      strict   cell     mcnemar_exact      separate     1300   -15.462    4.515e-31
 158 primary      strict   cell     cluster_bootstrap  separate     1300   -15.462    9.047e-13
 159 primary      strict   cell     permutation        separate     1300   -15.462    9.047e-13
 160 primary      strict   cell     logit_robustSE     separate     1300   -15.462    8.626e-26
